,PNs,Count,Material - Mean,Material - Std,Bought Out - Mean,Bought Out - Std,Sub-Con - Mean,Sub-Con - Std,Machining - Mean,Machining - Std,Fabrication - Mean,Fabrication - Std,Test & Assy - Mean,Test & Assy - Std,Margin - Mean,Margin - Std,Total Unit Sell - No Spares - Mean,Total Unit Sell - No Spares - Std,Total Unit Sell - Spares - Mean,Total Unit Sell - Spares - Std,Tot unit Sell - Mean,Tot Unit Sell - Std,Total Ext Sell - No Spares - Mean,Total Ext Sell - No Spares - Std,Total Ext Sell - Spares - Mean,Total Ext Sell - Spares - Std,Tot Ext Sell - Mean,Tot Ext Sell - Std
83,TBC,8,,,1376.4,332.2591759,250,0,,,,,,,0.250900193,0.009728093,1997.499998,595.9925853,0,0,1997.499998,595.9925853,1997.499998,595.9925853,0,0,1997.499998,595.9925853
13,371144,7,1728.84,105.4529658,2693.6,644.4376153,800,0,100,0,,,,,0.245254108,0.010397571,5348.571585,2800.984687,37745.38452,51036.81922,43093.9561,53009.53503,6068.571577,2149.398736,37964.81307,51271.28177,44033.38465,52613.11005
65,A941908-1,7,,,457.6342857,140.1361213,,,,,,,,,0.233333333,5.66558E-17,596.9142852,182.786245,0,0,596.9142852,182.786245,596.9142852,182.786245,0,0,596.9142852,182.786245
36,A131533-1,6,,,1196.24,598.1385846,3466.4,1825.97311,,,,,,,0.267173859,0.028286577,5252.418892,2164.340432,9340.925572,7505.045253,14593.34446,9588.727579,4390.585559,3051.117256,8479.092239,7577.283925,12869.6778,10167.23391
51,A73235-2,6,,,383.3333333,226.6015593,,,,,,,,,0.233334013,1.05476E-06,500.0001594,295.5670433,0,0,500.0001594,295.5670433,500.0001594,295.5670433,0,0,500.0001594,295.5670433
28,A124279-7,5,,,6594.96,11966.89916,300,0,1800,0,,,15984,0,0.258109268,0.001056946,27425.98322,5946.802877,0,0,27425.98322,5946.802877,27425.98322,5946.802877,0,0,27425.98322,5946.802877
72,H133702-10,5,4229.1,3303.973626,1332,,965,952.6279442,,,,,,,0.24316946,0.018346955,5781.199981,5261.132634,5875.162127,12077.55283,11656.36211,16066.01445,5781.199981,5261.132634,6409.962051,13059.11326,12191.16203,17043.71306
0,,4,,,521.3333333,371.8135734,1790,,,,,,,,0.233333333,0,957.4999995,681.7807566,487.1114686,974.2229371,1444.611468,1579.659075,509.9999995,521.9195335,587.5064212,1175.012842,1097.506421,924.1463343
1,133526-RO-CP,4,,,582.52,0,,,,,,,,,0.260010117,0,787.1999517,0,0,0,787.1999517,0,787.1999517,0,0,0,787.1999517,0
7,164715,4,,,754.8,153.8061117,,,,,,,,,0.259999991,0,1019.999988,207.8460945,0,0,1019.999988,207.8460945,1019.999988,207.8460945,0,0,1019.999988,207.8460945
48,A73216-1,4,,,1702,0,,,,,,,,,0.223504276,0.011349617,2192.250006,32.04293038,0,0,2192.250006,32.04293038,2192.250006,32.04293038,0,0,2192.250006,32.04293038
